loan_id,applicant_name,loan_amount,interest_rate,loan_duration_months,property_value,property_type,credit_score,employment_status,approval_status
1,Anstice Pavis,896237.8,0.0105,304,657719.77,Condo,762,Self-Employed,true
2,Devon Walding,235188.85,0.0394,324,576643.88,Apartment,447,Self-Employed,true
3,Annabal Finnimore,8377.69,0.0708,209,110681.94,Townhouse,808,Employed,false
4,Oralee Lipyeat,99230.09,0.0171,205,73276.47,Apartment,726,Self-Employed,true
5,Marlin Satchel,171024.72,0.0863,237,151475.68,Apartment,623,Self-Employed,false
6,Morgun Fauguel,686451.5,0.0128,155,271867.82,Condo,548,Unemployed,false
7,Shaine Bour,399587.51,0.018,74,635220.83,Single Family Home,670,Employed,true
8,Caleb Cowthart,762733.85,0.0773,164,212035.79,Condo,779,Self-Employed,false
9,Gregor Rosenfrucht,371038.45,0.0963,337,598012.62,Townhouse,363,Self-Employed,false
10,Tobit Cockram,511931.34,0.0482,201,223404.95,Condo,821,Employed,false
11,Kelci Oguz,158669.37,0.0472,306,634606.9,Single Family Home,635,Self-Employed,false
12,Bonita Di Matteo,667078.09,0.051,137,852595.88,Condo,591,Self-Employed,false
13,Druci Flay,8181.77,0.0911,346,865908.97,Single Family Home,495,Employed,false
14,Marja Kyndred,232711.41,0.0361,359,645691.12,Single Family Home,700,Self-Employed,false
15,Roanne Mobley,346262.3,0.0905,318,567797.34,Apartment,487,Unemployed,true
16,Chaunce Jermyn,723251.62,0.0303,181,828423.47,Condo,501,Employed,false
17,Lotty Smallpeice,845920.25,0.0112,173,528124.37,Apartment,694,Employed,false
18,Myrah Briars,846438.96,0.078,278,719970.24,Townhouse,656,Employed,true
19,Harri Flaherty,584560.71,0.0178,297,399866.12,Apartment,698,Unemployed,false
20,Roselin Whitechurch,97961.08,0.0787,164,68438.8,Townhouse,761,Employed,false
21,Felike McNevin,357081.38,0.0143,185,234709.06,Apartment,726,Unemployed,false
22,Leighton Pepperd,537691.2,0.0834,57,530266.49,Single Family Home,305,Employed,true
